,V1,V2
1,-64.6649612,-54.873386
2,-64.672613,-54.8616528
3,-64.677085,-54.856533
4,-64.6793616,-54.8600538
5,-64.66900577,-54.87339423
6,-64.67993941,-54.86101947
7,-64.65974667,-54.87249782
8,-64.67352143,-54.86064771
9,-64.66958842,-54.85294137
10,-64.67484948,-54.861866
11,-64.6816848,-54.86097056
12,-64.677865,-54.857955
13,-64.67657,-54.8608
14,-64.68190958,-54.85960038
15,-64.67885814,-54.85630414
16,-64.65895308,-54.87351769
17,-64.66773,-54.87467
18,-64.67365667,-54.86317089
19,-64.67702714,-54.85500857
20,-64.6706725,-54.868801
21,-64.67634357,-54.862934
22,-64.67111667,-54.871112
23,-64.67131412,-54.86462765
24,-64.6735975,-54.853333
25,-64.67102,-54.86662654
26,-64.68014709,-54.85808409
27,-64.667197,-54.850132
28,-64.67684625,-54.861866
29,-64.67947,-54.862934
30,-64.6754675,-54.85413325
31,-64.673065,-54.86743711
32,-64.67364149,-54.86573089
33,-64.6735975,-54.854826
34,-64.6544,-54.874135
35,-64.657602,-54.85227
36,-64.671364,-54.85283693
37,-64.657678,-54.87558029
38,-64.66938364,-54.86390309
39,-64.66133,-54.85227
40,-64.6544,-54.878399
41,-64.65493,-54.882133
42,-64.6272,-54.8576
43,-64.6816,-54.8570665
44,-64.6584005,-54.878666
45,-64.66773,-54.866135
46,-64.66996727,-54.85478727
47,-64.650665,-54.896
48,-64.67336929,-54.85683786
49,-64.65529,-54.88
50,-64.65387,-54.84693
51,-64.664536,-54.8704
52,-64.73067,-54.845867
53,-64.66987,-54.842667
54,-64.6432,-54.910934
55,-64.664003,-54.87467
56,-64.656535,-54.84693
57,-64.6544,-54.8928
58,-64.66061667,-54.875024
59,-64.66987,-54.856533
60,-64.69013,-54.8448
61,-64.73814,-54.82453
62,-64.73493,-54.8544
63,-64.6496,-54.88
64,-64.6688,-54.8704
65,-64.67094,-54.848
66,-64.6496,-54.8928
67,-64.64854,-54.882133
68,-64.66701933,-54.85227
69,-64.666664,-54.855465
70,-64.69155667,-54.806044
71,-64.72747,-54.817066
72,-64.669335,-54.8463985
73,-64.65493,-54.781868
74,-64.6368,-54.903465
75,-64.62614,-54.842667
76,-64.65707,-54.821335
77,-64.705488,-54.7968
78,-64.666664,-54.868267
79,-64.66987,-54.8512
80,-64.67342,-54.871822
81,-64.70008667,-54.80284333
82,-64.6624,-54.8576
83,-64.67627,-54.85902133
84,-64.66524533,-54.8512
85,-64.692805,-54.7856015
86,-64.3456,-54.727467
87,-64.66347,-54.850132
88,-64.6643224,-54.8526952
89,-63.922134,-54.794666
90,-64.1824,-54.746666
91,-64.69867,-54.804268
92,-64.66987,-54.859734
93,-64.69013,-54.7872
94,-64.6592,-54.784
95,-64.51307,-54.7968
96,-64.66026333,-54.880355
97,-64.72675667,-54.8544
98,-64.7336512,-54.858452
99,-64.58453,-54.8352
100,-64.54471167,-54.72568933
101,-64.736,-54.856533
102,-64.73635667,-54.857955
103,-64.73160188,-54.80747
104,-64.73328754,-54.806311
105,-64.72853333,-54.80782433
106,-64.6752,-54.8704
107,-64.746666,-54.8544
108,-64.74987,-54.834133
109,-64.4288,-54.7584
110,-64.7136,-54.797867
111,-64.25066,-54.727467
112,-64.72,-54.849068
113,-64.73368678,-54.80741056
114,-64.67271,-54.79929
115,-64.28053,-54.7296
116,-64.7308475,-54.80515467
117,-64.5088,-54.795734
118,-64.5242675,-54.770667
119,-64.24747,-54.727467
120,-64.72803,-54.80561305
121,-64.60907,-54.907734
122,-64.72391067,-54.8048
123,-64.6592,-54.882133
124,-64.24747,-54.724266
125,-64.28267,-54.731735
126,-64.24427,-54.7269335
127,-64.57387,-54.814934
128,-64.7072,-54.794666
129,-64.2304,-54.756268
130,-64.26987,-54.682667
131,-64.715098,-54.8
132,-64.27627,-54.730667
133,-64.27306,-54.791466
134,-64.2624,-54.734932
135,-64.234665,-54.701866
136,-64.13333,-54.7712
137,-64.7328,-54.813866
138,-64.720535,-54.7994675
139,-63.81333,-54.754135
140,-64.263466,-54.676266
141,-64.7234655,-54.802665
142,-63.800533,-54.7264
143,-64.26133,-54.673599
144,-64.24,-54.703467
145,-64.68587,-54.805332
146,-63.808,-54.753067
147,-64.2432,-54.702934
148,-64.717865,-54.8
149,-63.808,-54.718933
150,-64.6752,-54.801067
151,-64.64854,-54.776535
152,-64.72106667,-54.80497733
153,-64.72541014,-54.804876
154,-64.701866,-54.7968
155,-64.707735,-54.8
156,-64.724266,-54.8064
157,-64.72747,-54.8032
158,-64.70506,-54.8
159,-64.7424,-54.80213
160,-64.695465,-54.8064
161,-64.72853,-54.8128
162,-64.7088025,-54.796267
163,-64.709335,-54.792534
164,-64.246614,-54.7456
165,-64.2368,-54.7456
166,-64.258665,-54.673599
167,-64.24533,-54.699734
168,-64.2208,-54.848
169,-64.217065,-54.8528015
170,-64.2208,-54.842667
171,-64.512,-54.792534
172,-64.5664,-54.8128
173,-64.576,-54.887466
174,-64.52053,-54.771733
175,-64.5184,-54.776535
176,-64.31467,-54.736
177,-64.25066,-54.7456
178,-64.1824,-54.837334
179,-64.20693,-54.808533
180,-64.67627,-54.906666
181,-64.1824,-54.833065
182,-64.717865,-54.8064
183,-64.69334,-54.811733
184,-64.71893,-54.8032