"","cluster","lon","lat","time","colonia","dist.col","frequency","no.ind"
"1",8,-64.67413,-54.859734,"day",1,162.868887564274,7,1
"2",20,-64.67094,-54.869335,"day",1,225.677529687475,4,1
"3",27,-64.666664,-54.850132,"day",1,276.23414532521,2,1
"4",30,-64.67627,-54.853333,"day",1,317.91575034342,4,1
"5",39,-64.66133,-54.85227,"day",0,531.85991339582,1,1
"6",41,-64.65493,-54.882133,"day",1,156.355840973247,1,1
"7",42,-64.6272,-54.8576,"day",0,2363.78534800298,1,1
"8",45,-64.66773,-54.866135,"day",1,102.59683518549,1,1
"9",47,-64.650665,-54.896,"day",0,1349.03333903369,1,1
"10",50,-64.65387,-54.84693,"day",0,1135.88883525767,1,1
"11",51,-64.664536,-54.8704,"day",0,404.669102712639,1,1
"12",52,-64.73067,-54.845867,"day",0,3538.93728029758,1,1
"13",53,-64.66987,-54.842667,"day",0,782.385321121845,1,1
"14",54,-64.6432,-54.910934,"day",0,3022.7154681956,1,1
"15",56,-64.65707,-54.84693,"day",0,939.70722782182,2,1
"16",59,-64.66987,-54.856533,"day",1,2.58191405616262,1,1
"17",60,-64.69013,-54.8448,"day",0,1331.35486526093,1,1
"18",61,-64.73814,-54.82453,"day",0,5130.61726229153,1,1
"19",62,-64.73493,-54.8544,"day",0,3501.00977436484,1,1
"20",64,-64.6688,-54.8704,"day",1,282.481664154567,1,1
"21",65,-64.67094,-54.848,"day",1,185.744705583478,1,1
"22",66,-64.6496,-54.8928,"day",0,988.198856132278,1,1
"23",67,-64.64854,-54.882133,"day",1,41.3647707691213,1,1
"24",69,-64.666664,-54.855465,"day",1,38.434008977617,1,1
"25",72,-64.6688,-54.845867,"day",0,445.115774878211,2,1
"26",73,-64.65493,-54.781868,"day",0,7615.63916344709,1,1
"27",74,-64.6368,-54.903465,"day",0,2297.91763658145,1,1
"28",75,-64.62614,-54.842667,"day",0,2978.86055697863,1,1
"29",76,-64.65707,-54.821335,"day",0,3277.03331430611,1,1
"30",77,-64.70506,-54.7968,"day",0,6274.38468830995,5,1
"31",78,-64.666664,-54.868267,"day",1,298.693685727812,1,1
"32",82,-64.6624,-54.8576,"day",1,265.723048533713,1,1
"33",86,-64.3456,-54.727467,"day",0,24953.6763472081,1,1
"34",89,-63.922134,-54.794666,"day",0,47390.7208964977,1,1
"35",90,-64.1824,-54.746666,"day",0,33249.852034476,1,1
"36",91,-64.69867,-54.804268,"day",0,5353.26586203118,1,1
"37",92,-64.66987,-54.859734,"day",1,149.367108788728,1,1
"38",93,-64.69013,-54.7872,"day",0,7058.87290068258,1,1
"39",94,-64.6592,-54.784,"day",0,7347.34251730434,1,1
"40",96,-64.66133,-54.88,"day",1,197.790795993737,3,1
"41",99,-64.58453,-54.8352,"day",0,5773.77981872811,1,1
"42",101,-64.736,-54.856533,"day",0,3519.33580446051,1,1
"43",106,-64.6752,-54.8704,"day",0,378.875498646952,1,1
"44",107,-64.746666,-54.8544,"day",0,4236.36022683494,1,1
"45",108,-64.74987,-54.834133,"day",0,5253.13995007832,1,1
"46",109,-64.4288,-54.7584,"day",0,18586.4708076698,1,1
"47",112,-64.72,-54.849068,"day",0,2767.3190197853,1,1
"48",115,-64.28053,-54.7296,"day",0,28440.2962183108,1,1
"49",121,-64.60907,-54.907734,"day",0,3648.03160129958,1,1
"50",123,-64.6592,-54.882133,"day",1,74.5956770262561,1,1
"51",124,-64.24747,-54.724266,"day",0,30601.1525123073,1,1
"52",127,-64.57387,-54.814934,"day",0,7336.14573451339,1,1
"53",129,-64.2304,-54.756268,"day",0,30008.7616226198,1,1
"54",130,-64.26987,-54.682667,"day",0,31802.4185237478,1,1
"55",133,-64.27306,-54.791466,"day",0,25868.8458297413,1,1
"56",134,-64.2624,-54.734932,"day",0,29208.7047626203,1,1
"57",135,-64.234665,-54.701866,"day",0,32529.9784033869,1,1
"58",137,-64.7328,-54.813866,"day",0,5616.7082349472,1,1
"59",140,-64.263466,-54.676266,"day",0,32556.5144429677,1,1
"60",142,-63.800533,-54.7264,"day",0,56927.1607032186,1,1
"61",145,-64.68587,-54.805332,"day",0,5024.56676141782,1,1
"62",146,-63.808,-54.753067,"day",0,55619.2448548158,1,1
"63",147,-64.2432,-54.702934,"day",0,31996.3811991495,1,1
"64",148,-64.717865,-54.8,"day",0,6289.65844571313,1,1
"65",151,-64.64854,-54.776535,"day",0,8265.71570980216,1,1
"66",154,-64.701866,-54.7968,"day",0,6206.20107857777,1,1
"67",155,-64.70827,-54.8,"day",0,6020.18616618338,2,1
"68",156,-64.724266,-54.8064,"day",0,5901.25129233086,1,1
"69",158,-64.70506,-54.8,"day",0,5941.59983578817,1,1
"70",159,-64.7424,-54.80213,"day",0,6995.23034170817,1,1
"71",160,-64.695465,-54.8064,"day",0,5062.68619604186,1,1
"72",161,-64.72853,-54.8128,"day",0,5514.6697375983,1,1
"73",163,-64.709335,-54.792534,"day",0,6815.63526969716,1,1
"74",165,-64.2368,-54.7456,"day",0,30205.7919970097,2,1
"75",167,-64.24533,-54.699734,"day",0,32063.4603809559,1,1
"76",168,-64.2208,-54.848,"day",0,27450.0751942444,1,1
"77",170,-64.2208,-54.842667,"day",0,27538.2194407579,1,1
"78",172,-64.5664,-54.8128,"day",0,7869.45023334691,1,1
"79",173,-64.576,-54.887466,"day",0,4448.86268159805,1,1
"80",174,-64.52053,-54.772266,"day",0,12948.4742053802,2,1
"81",176,-64.31467,-54.736,"day",0,26169.1788452976,1,1
"82",178,-64.1824,-54.837334,"day",0,30068.2278053988,1,1
"83",179,-64.20693,-54.808533,"day",0,29245.5521481784,1,1
"84",180,-64.67627,-54.906666,"day",0,2914.20559054961,1,1
"85",181,-64.1824,-54.833065,"day",0,30150.6976128039,1,1
"86",182,-64.717865,-54.8064,"day",0,5673.57908118848,1,1
"87",183,-64.69334,-54.811733,"day",0,4456.24773069481,1,1
"88",184,-64.71893,-54.8032,"day",0,6013.55529259043,1,1
